row_num,shop,schedule,time,product,content_type,topic,title,url,creator,status,date,post,path,note,recorder,editor,actor,voice_over,script,vv,revenue,shares,comments,engagement_rate,ctor,media_url,content_status,publish_status,remark,tiktok_eloop,facebook_eloop,instagram_eloop,youtube_eloop,tiktok_moov,facebook_moov,youtube_moov,instagram_moov,notified
,Moov,,,PB01,Review,PB01,,https://www.tiktok.com/@moovthailand/video/7325780607198416133,Ann,Done,1/20/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Jan/PB01-Eloop.mp4,,Ann,Ann,Ann,Music,,75.0,0.0,0.0,0.0,0.00%,0.00%,,,,,,,,,,,,,
,EloopTH,,,,Educate ,ตั้งค่า iPhone ให้แอบฟังได้!,,https://www.tiktok.com/@eloopth/video/7325780076325342470,Yung,Done,1/20/2024,HUANG,/Volumes/graphic/_Video Content/Short Video/2024/Educate/ไอโฟนสามารถแอบฟังได้นะ.mp4,,Yung,Guild,Guild,Nile,,7131.0,749.4,6.0,5.0,1.05%,50.00%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EloopTH,,,"E29
EW55
EW54
E33 E33Line
E53",Campaign,Pay Day Sale & 2.2,,https://www.tiktok.com/@eloopth/video/7329429389219777797,Huang,Done,1/28/2024,HUANG,,#TikTokShopช้อปกันวันเงินออก#ช้อปกันวันเงินออก#22โปรดีปีมังกร,Ploy,Huang,Huang,Huang,,9.0,0.0,0.0,0.0,0.00%,0.00%,,,,,,,,,,,,,
21-28 Jan,EloopTH,,,"EW55
E29",Viral,EW55 E29 (มงคลเปิดประตูให้เปี๊ยกหน่อย),,https://www.tiktok.com/@eloopth/video/7327286473542176006,Ann,Done,1/23/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Jan/EW55 E29 มงคลเปี๊ยก.mov,ฝากใส่แผ่นเสียงเพลง มงคลด้วยจ้า,Ann,Ann,Ann,Music,,12.0,0.0,0.0,0.0,0.00%,0.00%,,,,,,,,,,,,,
,EloopTH,,,"E29
EW55
EW54
E33 E33Line
E53",Review,เคาะ 5 พาวเวอร์แบงค์ขายดีปี 2023,,https://www.tiktok.com/@eloopth/video/7328783564948901121,Ann,Done,1/26/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Jan/5 รุ่นขายดี.mov,,Ann,Ann,Ann,Music,,286.0,0.0,0.0,0.0,0.00%,0.00%,,,,,,,,,,,,,
,EloopTH,,,EW55,Review,EW55 ไม่ชาร์จไร้สายได้มั้ย,,https://www.tiktok.com/@eloopth/video/7327669446183537925,Moth,Done,1/24/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Jan/How to Use EW55.mp4,,Moth,Moth,Moth,Moth,,981.0,0.0,0.0,2.0,1.73%,0.00%,,,,,,,,,,,,,
,EloopTH,,,"E53
E33",Review,E53 vs E33,,https://www.tiktok.com/@eloopth/video/7328021618138090753,Ann,Done,1/25/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Jan/E53 vs E33.mov,,Ann,Ann,Ann,Huang,,9947.0,4267.08,15.0,7.0,1.68%,165.09%,,,,,,,,,,,,,
,Moov,,,ST01,Review,ขาตั้ง ใส่บัตรได้ ST01,,https://www.tiktok.com/@moovthailand/video/7328021766675156231,Ann,Done,1/25/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Jan/ST01-Moov.mov,,Nile,Ann,Ann,Music,,173.0,0.0,2.0,0.0,2.89%,0.00%,,,,,,,,,,,,,
,Moov,,,PB02,Review,PB02 ตัวเล็กพกง่าย,,https://www.tiktok.com/@moovthailand/video/7326891156783107334,Moth,Done,1/22/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Jan/PB02.mp4,,Moth,Moth,Moth,Moth,,49.0,0.0,0.0,0.0,2.04%,0.00%,,,,,,,,,,,,,
